,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
0,North America,55637640,+4460,+306,1134768,44105767
1,Asia,78616954,+37560,+627,1158619,75618949
2,South America,38271452,+433,+2,1167292,36419983
3,Europe,62867010,+90340,+1916,1280092,57027155
4,Africa,8538051,+746,+24,217356,7866048
5,Oceania,294095,+2344,+20,3567,232597
6,,721,,,15,706
7,World,244225923,+135883,+2895,4961709,221271205
8,USA,46294210,,,756205,36033886
9,India,34175468,+625,,454301,33548605
10,Brazil,21723559,,,605569,20895886
11,UK,8734934,,,139461,7116179
12,Russia,8241643,+35660,+1072,230600,7165921
13,Turkey,7827013,,,68917,7259585
14,France,7120863,,,117463,6909596
15,Iran,5860844,+9174,+171,125223,5416691
16,Argentina,5279818,,,115823,5145609
17,Spain,4997732,,,87132,4848432
18,Colombia,4989681,,,127032,4833552
19,Italy,4737462,,,131802,4531644
20,Germany,4464667,,,95794,4206400
21,Indonesia,4240019,+623,+29,143205,4082454
22,Mexico,3781661,+4452,+306,286259,3141429
23,Poland,2972927,+4728,+13,76447,2686129
24,South Africa,2919332,,,88914,2811178
25,Ukraine,2769405,+20791,+386,63872,2375776
26,Philippines,2756923,+5279,+208,41793,2654173
27,Malaysia,2426050,,,28354,2320391
28,Peru,2195101,,,200019,N/A
29,Netherlands,2076273,,,18313,1973315
30,Iraq,2045027,,,22937,1984439
31,Thailand,1850482,+9351,+56,18755,1730727
32,Czechia,1729458,+2751,+3,30615,1667465
33,Japan,1716692,+285,+8,18191,1693019
34,Canada,1697036,,,28745,1639081
35,Chile,1680017,,,37662,1629125
36,Bangladesh,1567417,,,27814,1530941
37,Romania,1561928,+11725,+381,44679,1323707
38,Israel,1322652,+116,,8046,1301403
39,Belgium,1312360,,,25846,1200847
40,Pakistan,1268536,+591,+18,28377,1216242
41,Sweden,1165996,,,14956,1134392
42,Serbia,1092476,,,9448,957601
43,Portugal,1084534,,,18129,1035450
44,Cuba,944431,,,8167,930361
45,Morocco,944076,,,14606,924009
46,Kazakhstan,928211,+1677,,11907,871803
47,Vietnam,884895,,,21620,804664
48,Switzerland,862408,,,11194,819087
49,Jordan,849758,,,10941,821458
50,Hungary,843825,,,30492,793842
51,Nepal,808534,,,11345,786630
52,Austria,798606,+3624,+6,11251,756121
53,UAE,739190,,,2129,733127
54,Greece,714283,,,15598,663774
55,Tunisia,711521,,,25139,685084
56,Georgia,692240,+3436,+43,9742,630961
57,Lebanon,637312,,,8449,612103
58,Guatemala,594665,,,14655,571284
59,Belarus,584190,,,4499,556496
60,Bulgaria,568073,,,23033,466522
61,Costa Rica,555970,,,6946,484431
62,Saudi Arabia,548205,,,8776,537246
63,Sri Lanka,535529,,,13593,503090
64,Azerbaijan,514289,,,6869,483559
65,Ecuador,514087,,,32937,443880
66,Bolivia,509709,+433,+2,18898,472064
67,Myanmar,493576,,,18511,455176
68,Panama,471403,,,7307,461819
69,Paraguay,460701,,,16230,444193
70,Slovakia,456438,+3207,+8,12903,412674
71,Croatia,443032,,,9010,416703
72,Ireland,428152,,,5369,375351
73,Palestine,420833,,,4358,407039
74,Kuwait,412506,,,2460,409568
75,Venezuela,399667,,,4800,380721
76,Uruguay,392029,,,6071,384211
77,Lithuania,388185,+2285,+25,5633,344411
78,Dominican Republic,375545,,,4106,365149
79,Denmark,375065,,,2697,360725
80,Honduras,374148,,,10192,115359
81,Ethiopia,362088,,,6347,332945
82,Libya,353626,+745,+24,5006,288170
83,S. Korea,351899,+1423,+21,2766,323393
84,Mongolia,349509,+1321,+17,1660,313256
85,Moldova,327094,,,7459,305068
86,Egypt,323733,,,18242,273154
87,Slovenia,319913,+1497,+5,4683,296778
88,Oman,304116,,,4107,299492
89,Armenia,295368,+2354,+38,6013,260731
90,Bahrain,276526,,,1393,274473
91,Kenya,252628,,,5255,246027
92,Bosnia and Herzegovina,247958,,,11322,192218
93,Qatar,238436,,,608,236840
94,Nigeria,210295,,,2856,198191
95,Zambia,209629,,,3659,205793
96,Algeria,205750,,,5886,141129
97,Latvia,202573,+2252,+10,3028,167123
98,Norway,200093,,,894,88952
99,North Macedonia,199539,,,7036,186211
100,Botswana,184919,,,2396,181187
101,Uzbekistan,183569,+378,+2,1304,179222
102,Estonia,182039,+1787,+7,1461,159479
103,Albania,181252,,,2870,171475
104,Kyrgyzstan,180563,+96,+3,2653,175061
105,Singapore,169261,,,300,139229
106,Australia,158604,+2232,+15,1637,121780
107,Afghanistan,155944,+4,+2,7255,127465
108,Finland,153156,,,1139,46000
109,Mozambique,151220,,,1928,148645
110,Montenegro,140489,,,2059,133977
111,Zimbabwe,132588,,,4663,126978
112,Ghana,129805,,,1170,126539
113,Namibia,128801,,,3546,124353
114,Uganda,125645,,,3198,96481
